Average operating time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31948.9,-123.218,-102.652,-131.214,-143.391
31948.9,-131.214,-105.773,-123.218,-141.103
31949,-131.214,-108.773,-123.218,-138.923
31949.4,-131.214,-111.77,-123.218,-136.532
31949,-138.692,-114.766,-114.735,-134.078
31949.4,-138.692,-117.66,-114.735,-131.674
31949.1,-138.692,-120.503,-114.735,-129.094
31949.2,-145.623,-123.381,-105.8,-126.515
31949.1,-145.623,-126.118,-105.8,-124.002
31949.2,-145.623,-128.795,-105.8,-121.234
31949.2,-145.623,-131.537,-105.8,-118.502
31949.2,-151.979,-134.065,-96.448,-116.024
31949.2,-151.979,-136.347,-96.448,-113.811
31949.3,-151.979,-138.532,-96.448,-111.469
31949.3,-157.735,-140.727,-86.7153,-108.96
31949.7,-157.735,-142.821,-86.7153,-106.343
31949.4,-157.735,-144.957,-86.7153,-103.444
31949.4,-162.869,-147.091,-76.64,-100.508
31949.5,-162.869,-149.11,-76.64,-97.632
31949.5,-162.869,-151.142,-76.64,-94.5102
31949.5,-167.359,-153.174,-66.2613,-91.3576
31949.9,-167.359,-155.049,-66.2613,-88.2844
31949.6,-167.359,-156.895,-66.2613,-85.0347
31949.7,-171.19,-158.767,-55.6219,-81.7363
31949.7,-171.19,-160.487,-55.6219,-78.5434
31949.8,-171.19,-162.152,-55.6219,-75.1597
31949.8,-174.345,-163.798,-44.7633,-71.7487
31949.8,-174.345,-165.294,-44.7633,-68.4764
31949.9,-174.345,-166.753,-44.7633,-64.9612
